name,company,position,twitter,web,image
Bente Hagem,ENTSO-E/Statnett,Chair/Executive Vice-President,,,bente_hagem.jpg
EC Speaker,European Commission,Blank,EU_Commission,http://ec.europa.eu/index_en.htm,ec.png
Jerzy Buzek,EU Parliament,MEP,ITRE Committee Chair,,j_buzek.jpg
Krisjanis Karins,BLANK,BLANK,,,
Kaja Kallas,BLANK,BLANK,,,
Rokas Masiulis,BLANK,BLANK,,,
Arvils Ašerādens,BLANK,BLANK,,,
Kristen Michal,BLANK,BLANK,,,
Ibrahim Baylan,BLANK,BLANK,,,
Riku Huttunen,BLANK,BLANK,,,
Daivis Virbickas,BLANK,BLANK,,,
Ulla Sandborgh,BLANK,BLANK,,,
Asta Sihvonen-Punkka,BLANK,BLANK,,,
Taavi Veskimagi,BLANK,BLANK,,,
Eryk Klossowski,BLANK,BLANK,,,
Varis Bok,BLANK,BLANK,,,
Peder Østermark Andreasen,ENTSO-E/Energinet.dk,President/CEO,entso_e,https://www.entsoe.eu,peder_andreasen.jpg
Auke Lont,BLANK,BLANK,,,
Others,BLANK,BLANK,,,
Robert Schroeder,ENTSO-E,BLANK,entso_e,https://www.entsoe.eu,robert.png
Sebastien Lepy,ENTSO-E,BLANK,entso-e,https://www.entsoe.eu,lepy.jpg
BLANK,JRC,BLANK,,,
BLANK,ENTSO-E,BLANK,,,
Daivis Virbickas,Litgrid,,,,
EC Speaker,European Commission,Blank,EU_Commission,http://ec.europa.eu/index_en.htm,ec.png
Ben Voorhorst,Tennet,BLANK,,,ben_voorhorst.jpg
Alnis Bāliņš,AST,Blank,,,
BLANK,Elering,Blank,,,